Transect No.,County,Site,Site function,Transect type,Drag round,Year,Date,Habitat type CONCAT,Temp (F),RH (%),Longitude Start,Latitude Start,GPS Start,GPS End,Start Time,End Time,Collectors,Amblyomma americanum ADULT,Amblyomma americanum NYMPH,Amblyomma americanum LARVA,Amblyomma maculatum ADULT,Amblyomma maculatum NYMPH,Amblyomma maculatum LARVA,Dermacentor albipictus ADULT,Dermacentor albipictus NYMPH,Dermacentor albipictus LARVA,Dermacentor variabilis ADULT,Dermacentor variabilis NYMPH,Dermacentor variabilis LARVA,Haemaphysalis leporispalustris ADULT,Haemaphysalis leporispalustris NYMPH,Haemaphysalis leporispalustris LARVA,Haemaphysalis longicornis ADULT,Haemaphysalis longicornis NYMPH,Haemaphysalis longicornis LARVA,Ixodes scapularis ADULT,Ixodes scapularis NYMPH,Ixodes scapularis LARVA,Rhipicephalus sanguineus ADULT,Rhipicephalus sanguineus NYMPH,Rhipicephalus sanguineus LARVA,Unknown ADULT,Unknown NYMPH,Unknown LARVA,Unknown UNKNOWN,Total,Overall Notes
23-4076,Suffolk,Gardiner County Park,Park,Interior,2,2023,Jun/21/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",70.6,59.8,-73.27358,40.69736,"40.69736, -73.27358","40.69792, -73.27384",4:16 PM,4:27 PM,KP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,6,2.5mph wind
23-5091,Suffolk,Gardiner County Park,Park,Trail,2,2023,Jun/21/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",66.9,69,-73.27433,40.69775,"40.69775, -73.27433","40.69718, -73.27410",4:00 PM,4:16 PM,JM,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2.1mph wind
23-5092,Suffolk,Gardiner County Park,Park,Interior,2,2023,Jun/21/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",66.9,69,-73.2738911,40.6972728,"40.6972728, -73.2738911","40.6978107, -73.2743940",4:18 PM,4:28 PM,JM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1mph wind
23-4054,Suffolk,Gardiner Farm Park,,Edge,1,2023,Jun/15/2023,"Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous",78.8,44.3,-73.37987,40.85371,"40.85371, -73.37987","40.85304, -73.37990",2:42 PM,2:58 PM,KP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-4055,Suffolk,Gardiner Farm Park,,Edge,1,2023,Jun/15/2023,"Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter",78.8,44.3,-73.37979,40.85305,"40.85305, -73.37979","40.85310, -73.37914",3:01 PM,3:13 PM,KP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,
23-4056,Suffolk,Gardiner Farm Park,,Edge,1,2023,Jun/15/2023,"Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter",78.8,44.3,-73.37917,40.85325,"40.85325, -73.37917","40.85385, -73.37951",3:16 PM,3:34 PM,KP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,8,
23-5073,Suffolk,Gardiner Farm Park,,Interior,1,2023,Jun/15/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",75.3,52.7,-73.37959,40.85167,"40.85167, -73.37959","40.85245, -73.37920",3:06 PM,3:23 PM,JM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,
23-5074,Suffolk,Gardiner Farm Park,,Interior,1,2023,Jun/15/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",75.3,52.7,-73.37904,40.85238,"40.85238, -73.37904","40.85229, -73.37979",3:33 PM,3:48 PM,JM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,
23-9036,Suffolk,Gardiner Farm Park,,Trail,1,2023,Jun/15/2023,"Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Unmaintained herbaceous and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter",76.8,52.6,-73.3793314,40.8516206,"40.8516206, -73.3793314","40.8521909, -73.3790645",3:06 PM,3:26 PM,MM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,
23-9037,Suffolk,Gardiner Farm Park,,Trail,1,2023,Jun/15/2023,"Unmaintained herbaceous, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Unmaintained herbaceous and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter",76.8,52.6,-73.3787557,40.8526474,"40.8526474, -73.3787557","40.8531640, -73.3783517",3:29 PM,4:00 PM,MM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,10,
23-9038,Suffolk,Gardiner Farm Park,,Trail,1,2023,Jun/15/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",76.8,52.69,-73.3789609,40.8522087,"40.8522087, -73.3789609","40.8515176, -73.3788352",3:58 PM,4:10 PM,MM,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,
23-3129,Suffolk,Gardiner Farm Park,Park,Trail,2,2023,Jul/05/2023,"Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous",88,54,-73.3792845,40.8515747,"40.8515747, -73.3792845","40.8524532, -73.378805",1:33 PM,1:47 PM,Alexis Angulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
23-3130,Suffolk,Gardiner Farm Park,Park,Trail,2,2023,Jul/05/2023,"Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous",88,54,-73.378805,40.8524532,"40.8524532, -73.3788050","40.8531189, -73.3785848",1:48 PM,1:57 PM,Alexis Angulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-3131,Suffolk,Gardiner Farm Park,Park,Trail,2,2023,Jul/05/2023,"Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous",88,54,-73.3789261,40.85213141,"40.85213141, -73.3789261","40.8519477, -73.3790689",1:58 PM,2:12 PM,Alexis Angulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-4126,Suffolk,Gardiner Farm Park,Park,Edge,2,2023,Jul/05/2023,"Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Unmaintained herbaceous and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter",88.2,46.6,-73.38004,40.8536,"40.85360, -73.38004","40.85322, -73.37998",1:27 PM,1:37 PM,KP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5mph wind
23-4127,Suffolk,Gardiner Farm Park,Park,Edge,2,2023,Jul/05/2023,"Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter",88.2,46.6,-73.38007,40.85296,"40.85296, -73.38007","40.85325, -73.37919",1:38 PM,1:46 PM,KP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
23-4128,Suffolk,Gardiner Farm Park,Park,Edge,2,2023,Jul/05/2023,"Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter",88.2,46.6,-73.37918,40.85317,"40.85317, -73.37918","40.85369, -73.37940",1:48 PM,1:58 PM,KP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2.5mph wind
23-5137,Suffolk,Gardiner Farm Park,Park,Interior,2,2023,Jul/05/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",86.5,53.4,-73.3795758,40.8516918,"40.8516918, -73.3795758","40.8522363, -73.3791986",1:32 PM,1:45 PM,JM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0.0mph wind
23-5138,Suffolk,Gardiner Farm Park,Park,Interior,2,2023,Jul/05/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",86.5,53.4,-73.37913173,40.852672,"40.8526720, -73.37913173","40.8523127, -73.3799269",1:51 PM,2:01 PM,JM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0mph wind
23-0030,Nassau,Garvies Point Preserve,Preserve,Trail,1,2023,Jun/15/2023,"Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous",75,49,,,,,5:56 PM,6:17 PM,Marie Lilly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dense vegetation lining trail
23-0031,Nassau,Garvies Point Preserve,Preserve,Interior,1,2023,Jun/15/2023,"Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous",75,49,,,,,6:17 PM,6:37 PM,Marie Lilly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Difficult understory - dense thorny vegetation
23-3064,Nassau,Garvies Point Preserve,Preserve,Trail,1,2023,Jun/15/2023,"Maintained grass, Maintained grass, Maintained grass, Dirt trail, Dirt trail, Dirt trail, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter",75,49,-73.6513111,40.8590224,"40.8590224, -73.6513111","40.8598564, -73.6520447",2:07 PM,2:21 PM,Alexis Angulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-3065,Nassau,Garvies Point Preserve,Preserve,Interior,1,2023,Jun/15/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",75,49,-73.6509741,40.8590021,"40.8590021, -73.6509741","40.8588890, -73.6511515",2:25 PM,2:42 PM,Alexis Angulo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-6064,Nassau,Garvies Point Preserve,Preserve,Edge,1,2023,Jun/15/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",75,49,-73.6508115,40.8598463,"40.8598463, -73.6508115","40.8596142, -73.6509815",2:04 PM,2:18 PM,RK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
23-6065,Nassau,Garvies Point Preserve,Preserve,Edge,1,2023,Jun/15/2023,"Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",75,49,-73.6511425,40.85912,"40.8591200, -73.6511425","40.8588989, -73.6519753",2:21 PM,2:35 PM,RK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,
23-7065,Nassau,Garvies Point Preserve,Preserve,Trail,1,2023,Jun/15/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",75,49,-73.6503,40.85981,"40.85981, -73.65030","40.86011, -73.64933",2:05 PM,2:16 PM,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-7066,Nassau,Garvies Point Preserve,Preserve,Trail,1,2023,Jun/15/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",75,49,-73.64931,40.86009,"40.86009, -73.64931","40.86022, -73.64832",2:17 PM,2:28 PM,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-0107,Nassau,Garvies Point Preserve,Preserve,Trail,2,2023,Jul/06/2023,"Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous, -",86.3,66.4,-73.65226,40.85982,"40.85982, -73.65226",-,11:06 AM,-,Marie Lilly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-0108,Nassau,Garvies Point Preserve,Preserve,Interior,2,2023,Jul/06/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous, Unmaintained herbaceous, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous",86.3,66.4,-73.65163,40.85919,"40.85919, -73.65163","40.85969, -73.65199",11:33 AM,11:50 AM,Marie Lilly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,
23-2062,Nassau,Garvies Point Preserve,-,Trail,2,2023,Jul/06/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",85,63,-73.65209,40.85994,"40.85994, -73.65209","40.86104, -73.65230",11:00 AM,11:15 AM,Rob Gullery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-2063,Nassau,Garvies Point Preserve,-,Interior,2,2023,Jul/06/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",85,63,-73.65223,40.86093,"40.86093, -73.65223","40.86016, -73.65198",11:15 AM,11:30 AM,Rob Gullery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-6140,Nassau,Garvies Point Preserve,mixed use,Edge,2,2023,Jul/06/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Maintained grass and unmaintained herbaceous, Maintained grass, Maintained grass, Maintained grass, Maintained grass, Maintained grass, Maintained grass, Maintained grass and unmaintained herbaceous",82.5,65.9,-73.6520014,40.8588295,"40.8588295, -73.6520014","40.8590328, -73.6511140",11:04 AM,11:17 AM,RK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-6141,Nassau,Garvies Point Preserve,mixed use,Interior,2,2023,Jul/06/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",82.5,65.9,-73.6506144,40.8593485,"40.8593485, -73.6506144","40.8596698, -73.6499931",11:20 AM,11:36 AM,RK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-7160,Nassau,Garvies Point Preserve,-,Trail,2,2023,Jul/06/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",88.7,63.8,-73.65051,40.8599,"40.8599-, -73.65051","40.86012, -73.64933",11:01 AM,11:11 AM,Aidyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-7161,Nassau,Garvies Point Preserve,-,Edge,2,2023,Jul/06/2023,"Unmaintained herbaceous and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herbaceous, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herb and leaf litter, Maintained grass and unmaintained herbaceous",88.7,63.8,-73.65062,40.86095,"40.86095, -73.65062","40.85965, -73.65124",11:13 AM,11:23 AM,Aidyn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23-1069,Suffolk,Glacier Ridge Bike Trail,,Trail,1,2023,Jun/15/2023,"Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter",75.5,55.6,-73.014549,40.846516,"40.846516, -73.014549","40.8472742, -73.0154857",12:08 PM,12:33 PM,"MDW, SJL, V",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,23,
23-1070,Suffolk,Glacier Ridge Bike Trail,,Trail,1,2023,Jun/15/2023,"Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter",75.5,55.6,-73.0155008,40.8472698,"40.8472698, -73.0155008","40.8476957, -73.0150318",12:34 PM,12:51 PM,"MDW, SJL, V",4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,14,
23-1071,Suffolk,Glacier Ridge Bike Trail,,Interior,1,2023,Jun/15/2023,"Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter",78,48,-73.0152407,40.8476962,"40.8476962, -73.0152407","40.847142, -73.015067",12:53 PM,1:12 PM,"MDW, SJL, V",3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17,
23-1072,Suffolk,Glacier Ridge Bike Trail,,Interior,1,2023,Jun/15/2023,"Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter",78,48,-73.015004,40.847045,"40.847045, -73.015004","40.846370, -73.0145654",1:16 PM,1:31 PM,"MDW, SJL, V",2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,
23-1075,Suffolk,Glacier Ridge Bike Trail,,Interior,1,2023,Jun/15/2023,"Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter, Leaf Litter",79.6,42.4,-73.015599,40.847586,"40.847586, -73.015599","40.8484459, -73.015779",11:18 AM,11:56 AM,SJL,23,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,238,
23-4059,Suffolk,Glacier Ridge Bike Trail,,Trail,1,2023,Jun/15/2023,"Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter, Unmaintained herbaceous and leaf litter",78.7,45.2,-73.01578,40.84639,"40.84639, -73.01578","40.84713, -73.01580",11:17 AM,11:40 AM,KP,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,29,
