Transect No,Species,Stage,Sex (if adult)
25-0112,Ixodes scapularis,Nymph,
25-0112,Ixodes scapularis,Nymph,
25-0112,Ixodes scapularis,Nymph,
25-0112,Ixodes scapularis,Nymph,
25-0112,Ixodes scapularis,Nymph,
25-0112,Ixodes scapularis,Nymph,
25-2081,Ixodes scapularis,Nymph,
25-0110-1,Ixodes scapularis,Nymph,
25-0110-2,Haemaphysalis longicornis,Nymph,
25-0110-2,Haemaphysalis longicornis,Nymph,
25-2091-1,Ixodes scapularis,Nymph,
25-2091-1,Ixodes scapularis,Nymph,
25-2091-1,Ixodes scapularis,Nymph,
25-2091-1,Ixodes scapularis,Nymph,
25-2091-2,Haemaphysalis longicornis,Nymph,
25-2091-2,Amblyomma maculatum,Nymph,
25-1126,Ixodes scapularis,Nymph,
25-1126,Ixodes scapularis,Nymph,
25-1127,Ixodes scapularis,Nymph,
25-1127,Ixodes scapularis,Nymph,
25-0090,Ixodes scapularis,Nymph,
25-0090,Ixodes scapularis,Nymph,
25-0084,Ixodes scapularis,Nymph,
25-0084,Ixodes scapularis,Nymph,
25-0084,Ixodes scapularis,Nymph,
25-2071,Ixodes scapularis,Nymph,
25-2076-1,Ixodes scapularis,Nymph,
25-2076-1,Ixodes scapularis,Nymph,
25-2076-2,Haemaphysalis longicornis,Nymph,
25-2076-2,Amblyomma americanum,Nymph,
25-0088,Ixodes scapularis,Nymph,
25-0088,Ixodes scapularis,Nymph,
25-0088,Ixodes scapularis,Nymph,
25-0088,Ixodes scapularis,Nymph,
25-0088,Ixodes scapularis,Nymph,
25-0102,Ixodes scapularis,Nymph,
25-0102,Ixodes scapularis,Nymph,
25-1117,Ixodes scapularis,Nymph,
25-1134,Ixodes scapularis,Nymph,
25-1134,Ixodes scapularis,Nymph,
25-1134,Ixodes scapularis,Nymph,
25-1134,Ixodes scapularis,Nymph,
25-1134,Ixodes scapularis,Nymph,
25-1134,Ixodes scapularis,Nymph,
25-2072,Ixodes scapularis,Nymph,
25-0081,Ixodes scapularis,Nymph,
25-0087-1,Ixodes scapularis,Nymph,
25-0087-2,Haemaphysalis longicornis,Nymph,
25-0087-2,Haemaphysalis longicornis,Nymph,
25-0087-2,Haemaphysalis longicornis,Nymph,
25-2074-1,Ixodes scapularis,Nymph,
25-2074-2,Haemaphysalis longicornis,Nymph,
25-1133,Ixodes scapularis,Nymph,
25-1133,Ixodes scapularis,Nymph,
25-1133,Ixodes scapularis,Nymph,
25-1133,Ixodes scapularis,Nymph,
25-1133,Ixodes scapularis,Nymph,
25-1133,Ixodes scapularis,Nymph,
25-1133,Ixodes scapularis,Nymph,
25-1133,Ixodes scapularis,Nymph,
25-1133,Ixodes scapularis,Nymph,
25-1133,Ixodes scapularis,Nymph,
25-1133,Ixodes scapularis,Nymph,
25-1133,Ixodes scapularis,Nymph,
25-1133,Ixodes scapularis,Nymph,
25-1133,Ixodes scapularis,Nymph,
25-1133,Ixodes scapularis,Nymph,
25-1133,Ixodes scapularis,Adult,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-1065,Ixodes scapularis,Nymph,
25-2033,Haemaphysalis longicornis,Larva,
25-2033,Ixodes scapularis,Nymph,
25-2033,Ixodes scapularis,Nymph,
25-0041,Ixodes scapularis,Adult,Male
25-0041,Ixodes scapularis,Nymph,
25-0041,Ixodes scapularis,Nymph,
25-0041,Ixodes scapularis,Nymph,
25-0041,Ixodes scapularis,Nymph,
25-0041,Ixodes scapularis,Nymph,
25-0041,Ixodes scapularis,Nymph,
25-0041,Ixodes scapularis,Nymph,
25-1072,Ixodes scapularis,Nymph,
25-2060,Amblyomma americanum,Adult,Female
25-1060,Ixodes scapularis,Adult,Female
25-1060,Ixodes scapularis,Nymph,
25-1060,Ixodes scapularis,Nymph,
25-1060,Ixodes scapularis,Nymph,
25-1060,Ixodes scapularis,Nymph,
Fairview Extra,Amblyomma americanum,Adult,Female
Fairview Extra,Amblyomma americanum,Larva,
Fairview Extra,Amblyomma americanum,Nymph,
Fairview Extra,Amblyomma americanum,Nymph,
Fairview Extra,Amblyomma americanum,Nymph,
Fairview Extra,Amblyomma americanum,Nymph,
Fairview Extra,Amblyomma americanum,Nymph,
Fairview Extra,Amblyomma americanum,Nymph,
Fairview Extra,Amblyomma americanum,Nymph,
Fairview Extra,Amblyomma americanum,Nymph,
Hope G Iselin Extra,Ixodes scapularis,Nymph,
25-2051,Amblyomma americanum,Nymph,
25-2043,Ixodes scapularis,Nymph,
25-2043,Ixodes scapularis,Nymph,
25-2043,Ixodes scapularis,Nymph,
25-2043,Ixodes scapularis,Nymph,
25-0059,Ixodes scapularis,Nymph,
25-0059,Amblyomma americanum,Nymph,
25-0059,Amblyomma americanum,Nymph,
25-0059,Haemaphysalis longicornis,Nymph,
25-0059,Amblyomma americanum,Adult,Male
25-0048,Ixodes scapularis,Nymph,
25-0048,Ixodes scapularis,Nymph,
25-0048,Ixodes scapularis,Nymph,
25-0048,Ixodes scapularis,Nymph,
25-0048,Ixodes scapularis,Nymph,
25-0048,Ixodes scapularis,Nymph,
25-0048,Haemaphysalis longicornis,Nymph,
25-7002,Amblyomma americanum,Nymph,
25-0046,Ixodes scapularis,Nymph,
25-0046,Ixodes scapularis,Nymph,
25-0046,Ixodes scapularis,Nymph,
25-0046,Ixodes scapularis,Nymph,
25-0046,Ixodes scapularis,Nymph,
25-0046,Ixodes scapularis,Adult,Female
25-2042,Ixodes scapularis,Nymph,
25-2042,Ixodes scapularis,Nymph,
25-2042,Ixodes scapularis,Nymph,
25-2042,Amblyomma americanum,Nymph,
25-2042,Amblyomma americanum,Nymph,
25-2042,Amblyomma americanum,Nymph,
25-2042,Amblyomma americanum,Nymph,
25-2042,Amblyomma americanum,Nymph,
25-2042,Amblyomma americanum,Nymph,
25-2042,Amblyomma americanum,Nymph,
25-2042,Amblyomma americanum,Nymph,
25-2042,Amblyomma americanum,Nymph,
25-2042,Amblyomma americanum,Nymph,
25-2042,Amblyomma americanum,Nymph,
25-2042,Amblyomma americanum,Nymph,
25-2042,Haemaphysalis longicornis,Nymph,
25-2042,Haemaphysalis longicornis,Nymph,
25-1091,Haemaphysalis longicornis,Nymph,
25-1091,Amblyomma americanum,Nymph,
25-1091,Amblyomma americanum,Nymph,
25-1091,Amblyomma americanum,Nymph,
25-1091,Amblyomma americanum,Nymph,
25-1091,Ixodes scapularis,Nymph,
25-0061,Ixodes scapularis,Nymph,
25-0061,Amblyomma americanum,Nymph,
25-0061,Haemaphysalis longicornis,Nymph,
25-1085,Ixodes scapularis,Nymph,
25-1085,Amblyomma americanum,Nymph,
26-0056,Ixodes scapularis,Nymph,
26-0056,Ixodes scapularis,Nymph,
26-0056,Ixodes scapularis,Nymph,
26-0056,Amblyomma americanum,Adult,Male
26-0056,Amblyomma americanum,Adult,Female
26-0056,Amblyomma americanum,Nymph,
26-0056,Amblyomma americanum,Nymph,
26-0056,Amblyomma americanum,Nymph,
26-0056,Amblyomma americanum,Nymph,
26-0056,Amblyomma americanum,Nymph,
26-0056,Amblyomma americanum,Nymph,
26-0056,Amblyomma americanum,Nymph,
26-0056,Amblyomma americanum,Nymph,
26-0056,Amblyomma americanum,Nymph,
26-0056,Amblyomma americanum,Nymph,
26-0056,Amblyomma americanum,Nymph,
26-0056,Amblyomma americanum,Nymph,
26-0056,Amblyomma americanum,Nymph,
26-0056,Amblyomma americanum,Nymph,
26-0056,Amblyomma americanum,Nymph,
26-0056,Amblyomma americanum,Nymph,
26-0056,Haemaphysalis longicornis,Nymph,
26-0056,Haemaphysalis longicornis,Nymph,
26-0056,Haemaphysalis longicornis,Nymph,
26-0056,Haemaphysalis longicornis,Nymph,
26-0056,Haemaphysalis longicornis,Nymph,
26-0056,Haemaphysalis longicornis,Nymph,
25-2061,Amblyomma americanum,Nymph,
25-2050,Amblyomma americanum,Adult,Male
25-2050,Amblyomma americanum,Nymph,
25-0060,Ixodes scapularis,Nymph,
25-0060,Ixodes scapularis,Nymph,
25-0060,Amblyomma americanum,Nymph,
25-0060,Haemaphysalis longicornis,Nymph,
25-1071,Ixodes scapularis,Nymph,
25-1071,Ixodes scapularis,Nymph,
25-1071,Ixodes scapularis,Nymph,
25-1090,Amblyomma americanum,Adult,Male
25-0063,Ixodes scapularis,Nymph,
25-0063,Amblyomma americanum,Nymph,
25-0062,Ixodes scapularis,Nymph,
25-0062,Ixodes scapularis,Nymph,
25-0062,Ixodes scapularis,Nymph,
25-0062,Amblyomma americanum,Nymph,
25-0062,Amblyomma americanum,Nymph,
25-2032,Ixodes scapularis,Nymph,
25-2032,Ixodes scapularis,Nymph,
25-2032,Ixodes scapularis,Nymph,
25-2032,Ixodes scapularis,Nymph,
25-2032,Ixodes scapularis,Nymph,
25-2032,Ixodes scapularis,Nymph,
25-2032,Ixodes scapularis,Adult,Female
25-1081,Haemaphysalis longicornis,Nymph,
25-1081,Amblyomma americanum,Adult,Male
25-1081,Ixodes scapularis,Nymph,
25-1081,Ixodes scapularis,Nymph,
25-1086,Haemaphysalis longicornis,Nymph,
25-1086,Ixodes scapularis,Nymph,
25-1070,Dermacentor variabilis,Adult,Female
25-1070,Ixodes scapularis,Nymph,
25-1070,Ixodes scapularis,Nymph,
25-1070,Ixodes scapularis,Nymph,
25-1070,Ixodes scapularis,Nymph,
25-1070,Ixodes scapularis,Nymph,
25-1070,Ixodes scapularis,Nymph,
25-2040,Amblyomma americanum,Nymph,
25-2040,Amblyomma americanum,Nymph,
25-2040,Amblyomma americanum,Nymph,
25-2040,Amblyomma americanum,Nymph,
25-2040,Amblyomma americanum,Nymph,
25-2040,Amblyomma americanum,Nymph,
25-2040,Amblyomma americanum,Nymph,
25-2040,Amblyomma americanum,Nymph,
25-2040,Amblyomma americanum,Nymph,
25-2040,Amblyomma americanum,Nymph,
25-2040,Amblyomma americanum,Nymph,
25-2040,Amblyomma americanum,Nymph,
25-2040,Amblyomma americanum,Nymph,
25-2040,Amblyomma americanum,Nymph,
25-2040,Amblyomma americanum,Nymph,
25-2040,Amblyomma americanum,Nymph,
25-2040,Haemaphysalis longicornis,Nymph,
25-2040,Haemaphysalis longicornis,Nymph,
25-2040,Haemaphysalis longicornis,Nymph,
25-2040,Haemaphysalis longicornis,Nymph,
25-2040,Haemaphysalis longicornis,Nymph,
25-2040,Haemaphysalis longicornis,Nymph,
25-2040,Haemaphysalis longicornis,Nymph,
25-2040,Amblyomma americanum,Adult,Male
25-2040,Amblyomma americanum,Adult,Female
25-2040,Amblyomma americanum,Adult,Female
25-2040,Amblyomma americanum,Adult,Female
25-2040,Ixodes scapularis,Nymph,
25-2040,Ixodes scapularis,Nymph,
25-2040,Ixodes scapularis,Nymph,
25-2040,Ixodes scapularis,Nymph,
25-2040,Ixodes scapularis,Nymph,
25-0070,Ixodes scapularis,Nymph,
25-0070,Ixodes scapularis,Nymph,
25-0070,Ixodes scapularis,Nymph,
25-0070,Ixodes scapularis,Nymph,
25-0070,Amblyomma americanum,Nymph,
25-0070,Amblyomma americanum,Nymph,
25-1080,Haemaphysalis longicornis,Adult,Male
25-1080,Amblyomma americanum,Adult,Female
25-7001,Ixodes scapularis,Nymph,
25-7001,Amblyomma americanum,Nymph,
25-7001,Amblyomma americanum,Nymph,
25-7001,Amblyomma americanum,Nymph,
25-1082,Ixodes scapularis,Nymph,
25-1082,Ixodes scapularis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Haemaphysalis longicornis,Nymph,
25-3003,Amblyomma americanum,Nymph,
25-3003,Amblyomma americanum,Nymph,
25-3003,Amblyomma americanum,Nymph,
25-3003,Haemaphysalis longicornis,Larva,
25-3003,Haemaphysalis longicornis,Larva,
25-3003,Haemaphysalis longicornis,Larva,
25-3003,Haemaphysalis longicornis,Larva,
25-3003,Haemaphysalis longicornis,Larva,
25-3003,Haemaphysalis longicornis,Larva,
25-3003,Haemaphysalis longicornis,Larva,
25-3003,Haemaphysalis longicornis,Larva,
25-3003,Haemaphysalis longicornis,Larva,
25-3003,Haemaphysalis longicornis,Larva,
25-3001,Ixodes scapularis,Nymph,
25-3001,Ixodes scapularis,Nymph,
25-3001,Ixodes scapularis,Nymph,
25-3001,Amblyomma americanum,Nymph,
25-3001,Amblyomma americanum,Nymph,
25-3001,Amblyomma americanum,Nymph,
25-3001,Amblyomma americanum,Nymph,
25-3001,Amblyomma americanum,Nymph,
25-3001,Amblyomma americanum,Nymph,
25-3001,Amblyomma americanum,Nymph,
25-3001,Amblyomma americanum,Nymph,
25-3001,Haemaphysalis longicornis,Nymph,
25-3001,Haemaphysalis longicornis,Nymph,
25-3001,Haemaphysalis longicornis,Nymph,
25-3001,Haemaphysalis longicornis,Nymph,
25-3001,Haemaphysalis longicornis,Nymph,
25-3001,Haemaphysalis longicornis,Larva,
25-3001,Haemaphysalis longicornis,Larva,
25-3001,Haemaphysalis longicornis,Larva,
25-3001,Haemaphysalis longicornis,Larva,
25-3001,Haemaphysalis longicornis,Larva,
25-3001,Haemaphysalis longicornis,Larva,
25-3001,Haemaphysalis longicornis,Larva,
25-3001,Haemaphysalis longicornis,Larva,
25-3001,Haemaphysalis longicornis,Larva,
25-3001,Haemaphysalis longicornis,Larva,
25-3001,Haemaphysalis longicornis,Larva,
25-3001,Haemaphysalis longicornis,Larva,
25-3001,Haemaphysalis longicornis,Larva,
25-3001,Haemaphysalis longicornis,Larva,
25-3001,Haemaphysalis longicornis,Larva,
25-3001,Haemaphysalis longicornis,Larva,
25-1077,Amblyomma americanum,Adult,Female
25-1077,Amblyomma americanum,Adult,Female
25-1077,Haemaphysalis longicornis,Larva,
25-1077,Haemaphysalis longicornis,Nymph,
25-1077,Haemaphysalis longicornis,Nymph,
25-1077,Haemaphysalis longicornis,Nymph,
25-1077,Amblyomma americanum,Nymph,
25-1077,Amblyomma americanum,Nymph,
25-1077,Amblyomma americanum,Nymph,
25-1077,Amblyomma americanum,Nymph,
25-1077,Amblyomma americanum,Nymph,
25-1077,Amblyomma americanum,Nymph,
25-1077,Amblyomma americanum,Nymph,
25-1077,Amblyomma americanum,Nymph,
25-1077,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Adult,Male
25-0055,Amblyomma americanum,Adult,Female
25-0055,Ixodes scapularis,Nymph,
25-0055,Ixodes scapularis,Nymph,
25-0055,Ixodes scapularis,Nymph,
25-0055,Ixodes scapularis,Nymph,
25-0055,Ixodes scapularis,Nymph,
25-0055,Ixodes scapularis,Nymph,
25-0055,Haemaphysalis longicornis,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-1076,Haemaphysalis longicornis,Adult,Female
25-1076,Haemaphysalis longicornis,Adult,Female
25-1076,Haemaphysalis longicornis,Adult,Female
25-1076,Amblyomma americanum,Adult,Female
25-1076,Amblyomma americanum,Nymph,
25-1076,Amblyomma americanum,Nymph,
25-1076,Amblyomma americanum,Nymph,
25-1076,Amblyomma americanum,Nymph,
25-1076,Amblyomma americanum,Nymph,
25-1076,Amblyomma americanum,Nymph,
25-1076,Haemaphysalis longicornis,Nymph,
25-1076,Haemaphysalis longicornis,Nymph,
25-1076,Haemaphysalis longicornis,Nymph,
25-1076,Haemaphysalis longicornis,Nymph,
25-1076,Haemaphysalis longicornis,Nymph,
25-1076,Haemaphysalis longicornis,Nymph,
25-1076,Haemaphysalis longicornis,Nymph,
25-1076,Haemaphysalis longicornis,Nymph,
25-1076,Haemaphysalis longicornis,Nymph,
25-1076,Haemaphysalis longicornis,Nymph,
25-1076,Haemaphysalis longicornis,Nymph,
25-2030,Ixodes scapularis,Nymph,
25-2030,Ixodes scapularis,Nymph,
25-2030,Ixodes scapularis,Nymph,
25-2030,Ixodes scapularis,Nymph,
25-2030,Ixodes scapularis,Nymph,
25-2030,Dermacentor variabilis,Adult,Male
25-2030,Dermacentor variabilis,Adult,Female
25-3002,Haemaphysalis longicornis,Nymph,
25-3002,Haemaphysalis longicornis,Nymph,
25-3002,Haemaphysalis longicornis,Nymph,
25-3002,Haemaphysalis longicornis,Nymph,
25-3002,Haemaphysalis longicornis,Nymph,
25-3002,Haemaphysalis longicornis,Nymph,
25-3002,Haemaphysalis longicornis,Nymph,
25-3002,Haemaphysalis longicornis,Nymph,
25-3002,Haemaphysalis longicornis,Nymph,
25-3002,Haemaphysalis longicornis,Nymph,
25-3002,Amblyomma americanum,Nymph,
25-3002,Amblyomma americanum,Nymph,
25-3002,Amblyomma americanum,Nymph,
25-3002,Amblyomma americanum,Nymph,
25-3002,Amblyomma americanum,Nymph,
25-3002,Amblyomma americanum,Adult,Male
25-3002,Amblyomma americanum,Adult,Male
25-3002,Haemaphysalis longicornis,Adult,Female
25-3002,Ixodes scapularis,Adult,Male
25-1061,Ixodes scapularis,Nymph,
25-1061,Ixodes scapularis,Nymph,
25-1061,Ixodes scapularis,Nymph,
25-1061,Ixodes scapularis,Nymph,
25-1061,Ixodes scapularis,Nymph,
25-1061,Ixodes scapularis,Nymph,
25-1061,Ixodes scapularis,Nymph,
25-1061,Ixodes scapularis,Nymph,
25-1061,Ixodes scapularis,Nymph,
25-1061,Ixodes scapularis,Nymph,
25-1061,Ixodes scapularis,Adult,Male
25-1061,Dermacentor variabilis,Adult,Female
25-0040,Amblyomma americanum,Nymph,
25-0040,Ixodes scapularis,Adult,Female
25-0040,Ixodes scapularis,Nymph,
25-0040,Ixodes scapularis,Nymph,
25-0040,Ixodes scapularis,Nymph,
25-0040,Ixodes scapularis,Nymph,
25-0040,Ixodes scapularis,Nymph,
25-0040,Ixodes scapularis,Nymph,
25-0040,Ixodes scapularis,Nymph,
25-0040,Ixodes scapularis,Nymph,
25-0040,Ixodes scapularis,Nymph,
25-0040,Ixodes scapularis,Nymph,
25-0040,Ixodes scapularis,Nymph,
25-0040,Ixodes scapularis,Nymph,
25-1075,Haemaphysalis longicornis,Adult,Female
25-1075,Haemaphysalis longicornis,Adult,Female
25-1075,Haemaphysalis longicornis,Adult,Female
25-1075,Haemaphysalis longicornis,Adult,Female
25-1075,Amblyomma americanum,Adult,Female
25-1075,Haemaphysalis longicornis,Nymph,
25-1075,Haemaphysalis longicornis,Nymph,
25-1075,Haemaphysalis longicornis,Nymph,
25-1075,Haemaphysalis longicornis,Nymph,
25-1075,Haemaphysalis longicornis,Nymph,
25-1075,Haemaphysalis longicornis,Nymph,
25-1075,Haemaphysalis longicornis,Nymph,
25-1075,Amblyomma americanum,Nymph,
25-1075,Amblyomma americanum,Nymph,
25-1075,Amblyomma americanum,Nymph,
25-1075,Amblyomma americanum,Nymph,
25-1075,Amblyomma americanum,Nymph,
25-1075,Amblyomma americanum,Nymph,
25-1075,Amblyomma americanum,Nymph,
25-1075,Amblyomma americanum,Nymph,
25-1075,Amblyomma americanum,Nymph,
SL-0001,Amblyomma americanum,Adult,Male
SL-0001,Amblyomma americanum,Nymph,
SL-0001,Amblyomma americanum,Nymph,
SL-0001,Amblyomma americanum,Nymph,
SL-0001,Haemaphysalis longicornis,Nymph,
SL-0001,Haemaphysalis longicornis,Nymph,
SL-0001,Haemaphysalis longicornis,Nymph,
SL-0001,Haemaphysalis longicornis,Nymph,
SL-0001,Haemaphysalis longicornis,Nymph,
SL-0001,Haemaphysalis longicornis,Nymph,
SL-0001,Haemaphysalis longicornis,Nymph,
SL-0001,Haemaphysalis longicornis,Nymph,
SL-0001,Haemaphysalis longicornis,Nymph,
SL-0001,Haemaphysalis longicornis,Nymph,
SL-0001,Haemaphysalis longicornis,Nymph,
SL-0001,Haemaphysalis longicornis,Nymph,
25-2044,Amblyomma americanum,Nymph,
25-2044,Amblyomma americanum,Nymph,
25-2044,Amblyomma americanum,Nymph,
25-2044,Amblyomma americanum,Nymph,
25-2044,Amblyomma americanum,Adult,Female
25-2044,Amblyomma americanum,Adult,Female
25-2044,Ixodes scapularis,Adult,Male
25-2044,Ixodes scapularis,Nymph,
25-2044,Ixodes scapularis,Nymph,
25-2044,Ixodes scapularis,Nymph,
25-2026,Ixodes scapularis,Nymph,
25-2026,Ixodes scapularis,Nymph,
25-2026,Ixodes scapularis,Nymph,
25-2026,Ixodes scapularis,Nymph,
25-2026,Ixodes scapularis,Nymph,
25-2026,Ixodes scapularis,Nymph,
25-2026,Ixodes scapularis,Nymph,
25-2026,Ixodes scapularis,Nymph,
25-2026,Ixodes scapularis,Nymph,
25-2026,Ixodes scapularis,Nymph,
25-2026,Ixodes scapularis,Nymph,
25-2026,Ixodes scapularis,Nymph,
25-2026,Ixodes scapularis,Nymph,
25-2026,Amblyomma americanum,Nymph,
25-2026,Ixodes scapularis,Adult,Male
25-0049,Ixodes scapularis,Nymph,
25-0049,Ixodes scapularis,Nymph,
25-0049,Ixodes scapularis,Nymph,
25-0049,Ixodes scapularis,Nymph,
25-0049,Ixodes scapularis,Nymph,
25-0049,Ixodes scapularis,Nymph,
25-1082,Ixodes scapularis,Nymph,
25-0017,Dermacentor variabilis,Adult,Male
25-0017,Dermacentor variabilis,Adult,Female
25-0017,Ixodes scapularis,Adult,Female
25-0017,Ixodes scapularis,Nymph,
25-0017,Ixodes scapularis,Nymph,
25-0017,Ixodes scapularis,Nymph,
25-0017,Ixodes scapularis,Nymph,
25-0017,Ixodes scapularis,Nymph,
25-0017,Ixodes scapularis,Nymph,
25-0017,Ixodes scapularis,Nymph,
25-0017,Ixodes scapularis,Nymph,
25-0017,Ixodes scapularis,Nymph,
25-0017,Ixodes scapularis,Nymph,
25-0017,Ixodes scapularis,Nymph,
25-0017,Ixodes scapularis,Nymph,
25-0055,Amblyomma americanum,Adult,Male
25-0055,Amblyomma americanum,Adult,Male
25-0055,Haemaphysalis longicornis,Adult,Female
25-0055,Ixodes scapularis,Nymph,
25-0055,Ixodes scapularis,Nymph,
25-0055,Ixodes scapularis,Nymph,
25-0055,Ixodes scapularis,Nymph,
25-0055,Haemaphysalis longicornis,Nymph,
25-0055,Haemaphysalis longicornis,Nymph,
25-0055,Haemaphysalis longicornis,Nymph,
25-0055,Haemaphysalis longicornis,Nymph,
25-0055,Haemaphysalis longicornis,Nymph,
25-0055,Haemaphysalis longicornis,Nymph,
25-0055,Haemaphysalis longicornis,Nymph,
25-0055,Haemaphysalis longicornis,Nymph,
25-0055,Haemaphysalis longicornis,Nymph,
25-0055,Haemaphysalis longicornis,Nymph,
25-0055,Haemaphysalis longicornis,Nymph,
25-0055,Haemaphysalis longicornis,Nymph,
25-0055,Haemaphysalis longicornis,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Amblyomma americanum,Nymph,
25-0055,Haemaphysalis longicornis,Larva,
25-0055,Haemaphysalis longicornis,Larva,
25-1105-1,Ixodes scapularis,Nymph,
25-1105-1,Ixodes scapularis,Nymph,
25-1105-1,Ixodes scapularis,Nymph,
25-1105-1,Ixodes scapularis,Nymph,
25-1105-1,Ixodes scapularis,Nymph,
25-1105-1,Ixodes scapularis,Nymph,
25-1105-1,Ixodes scapularis,Nymph,
25-1105-1,Ixodes scapularis,Nymph,
25-1105-2,Amblyomma americanum,Nymph,
25-1105-2,Haemaphysalis longicornis,Nymph,
25-0104-1,Ixodes scapularis,Nymph,
25-0104-1,Ixodes scapularis,Nymph,
25-0104-1,Ixodes scapularis,Nymph,
25-0104-2,Haemaphysalis longicornis,Nymph,
25-2083-1,Ixodes scapularis,Nymph,
25-2083-2,Dermacentor albipictus,Adult,Female
25-2083-2,Dermacentor albipictus,Adult,Female
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0044,Ixodes scapularis,Nymph,
25-0057-1,Ixodes scapularis,Nymph,
