Site,Transect type,Date,Transect No.,Section,Habitat type,Temperature,Relative Humidity,GPS Start,GPS End,Start Time,End Time,Collector,Notes
West Hills Park,Trail,Jun/12/2025,25-1125,3,Unmaintained herbaceous and leaf litter,86.3,44.2,"40.8020317,-73.419016","40.8022883,-73.4181058",12:04 PM,12:16 PM,Noah Edelman,
West Hills Park,Trail,Jun/12/2025,25-1125,4,Unmaintained herbaceous and leaf litter,86.3,44.2,"40.8020317,-73.419016","40.8022883,-73.4181058",12:04 PM,12:16 PM,Noah Edelman,
West Hills Park,Trail,Jun/12/2025,25-1125,5,Unmaintained herbaceous and leaf litter,86.3,44.2,"40.8020317,-73.419016","40.8022883,-73.4181058",12:04 PM,12:16 PM,Noah Edelman,
West Hills Park,Trail,Jun/12/2025,25-1125,6,Unmaintained herbaceous and leaf litter,86.3,44.2,"40.8020317,-73.419016","40.8022883,-73.4181058",12:04 PM,12:16 PM,Noah Edelman,
West Hills Park,Trail,Jun/12/2025,25-1125,7,Leaf Litter,86.3,44.2,"40.8020317,-73.419016","40.8022883,-73.4181058",12:04 PM,12:16 PM,Noah Edelman,
West Hills Park,Trail,Jun/12/2025,25-1125,8,Unmaintained herbaceous and leaf litter,86.3,44.2,"40.8020317,-73.419016","40.8022883,-73.4181058",12:04 PM,12:16 PM,Noah Edelman,
West Hills Park,Trail,Jun/12/2025,25-1125,9,Unmaintained herbaceous,86.3,44.2,"40.8020317,-73.419016","40.8022883,-73.4181058",12:04 PM,12:16 PM,Noah Edelman,
West Hills Park,Trail,Jun/12/2025,25-1125,10,Unmaintained herbaceous,86.3,44.2,"40.8020317,-73.419016","40.8022883,-73.4181058",12:04 PM,12:16 PM,Noah Edelman,
West Hills Park,Interior,Jun/12/2025,25-1126,1,Leaf Litter,85.2,44.8,"40.8-22865,-73.4180920","40.8024892,-73.4173343",12:19 PM,12:34 PM,Noah Edelman,
West Hills Park,Interior,Jun/12/2025,25-1126,2,Unmaintained herbaceous and leaf litter,85.2,44.8,"40.8-22865,-73.4180920","40.8024892,-73.4173343",12:19 PM,12:34 PM,Noah Edelman,
West Hills Park,Interior,Jun/12/2025,25-1126,3,Unmaintained herbaceous and leaf litter,85.2,44.8,"40.8-22865,-73.4180920","40.8024892,-73.4173343",12:19 PM,12:34 PM,Noah Edelman,
West Hills Park,Interior,Jun/12/2025,25-1126,4,Unmaintained herbaceous and leaf litter,85.2,44.8,"40.8-22865,-73.4180920","40.8024892,-73.4173343",12:19 PM,12:34 PM,Noah Edelman,
West Hills Park,Interior,Jun/12/2025,25-1126,5,Unmaintained herbaceous and leaf litter,85.2,44.8,"40.8-22865,-73.4180920","40.8024892,-73.4173343",12:19 PM,12:34 PM,Noah Edelman,
West Hills Park,Interior,Jun/12/2025,25-1126,6,Unmaintained herbaceous and leaf litter,85.2,44.8,"40.8-22865,-73.4180920","40.8024892,-73.4173343",12:19 PM,12:34 PM,Noah Edelman,
West Hills Park,Interior,Jun/12/2025,25-1126,7,Unmaintained herbaceous and leaf litter,85.2,44.8,"40.8-22865,-73.4180920","40.8024892,-73.4173343",12:19 PM,12:34 PM,Noah Edelman,
West Hills Park,Interior,Jun/12/2025,25-1126,8,Unmaintained herbaceous and leaf litter,85.2,44.8,"40.8-22865,-73.4180920","40.8024892,-73.4173343",12:19 PM,12:34 PM,Noah Edelman,
West Hills Park,Interior,Jun/12/2025,25-1126,9,Unmaintained herbaceous and leaf litter,85.2,44.8,"40.8-22865,-73.4180920","40.8024892,-73.4173343",12:19 PM,12:34 PM,Noah Edelman,
West Hills Park,Interior,Jun/12/2025,25-1126,10,Unmaintained herbaceous and leaf litter,85.2,44.8,"40.8-22865,-73.4180920","40.8024892,-73.4173343",12:19 PM,12:34 PM,Noah Edelman,
West Hills Park,Trail,Jun/12/2025,25-0112,1,Unmaintained herbaceous and leaf litter,84.8,44.4,"40.8014665,-73.4199602","40.8014601,-75.4189010",12:30 PM,12:50 PM,Rob Gullery,
West Hills Park,Trail,Jun/12/2025,25-0112,2,Unmaintained herbaceous and leaf litter,84.8,44.4,"40.8014665,-73.4199602","40.8014601,-75.4189010",12:30 PM,12:50 PM,Rob Gullery,
West Hills Park,Trail,Jun/12/2025,25-0112,3,Unmaintained herbaceous and leaf litter,84.8,44.4,"40.8014665,-73.4199602","40.8014601,-75.4189010",12:30 PM,12:50 PM,Rob Gullery,
West Hills Park,Trail,Jun/12/2025,25-0112,4,Unmaintained herbaceous and leaf litter,84.8,44.4,"40.8014665,-73.4199602","40.8014601,-75.4189010",12:30 PM,12:50 PM,Rob Gullery,
West Hills Park,Trail,Jun/12/2025,25-0112,5,Unmaintained herbaceous and leaf litter,84.8,44.4,"40.8014665,-73.4199602","40.8014601,-75.4189010",12:30 PM,12:50 PM,Rob Gullery,
West Hills Park,Trail,Jun/12/2025,25-0112,6,Unmaintained herbaceous and leaf litter,84.8,44.4,"40.8014665,-73.4199602","40.8014601,-75.4189010",12:30 PM,12:50 PM,Rob Gullery,
West Hills Park,Trail,Jun/12/2025,25-0112,7,Unmaintained herbaceous and leaf litter,84.8,44.4,"40.8014665,-73.4199602","40.8014601,-75.4189010",12:30 PM,12:50 PM,Rob Gullery,
West Hills Park,Trail,Jun/12/2025,25-0112,8,Unmaintained herbaceous and leaf litter,84.8,44.4,"40.8014665,-73.4199602","40.8014601,-75.4189010",12:30 PM,12:50 PM,Rob Gullery,
West Hills Park,Trail,Jun/12/2025,25-0112,9,Unmaintained herbaceous and leaf litter,84.8,44.4,"40.8014665,-73.4199602","40.8014601,-75.4189010",12:30 PM,12:50 PM,Rob Gullery,
West Hills Park,Trail,Jun/12/2025,25-0112,10,Unmaintained herbaceous and leaf litter,84.8,44.4,"40.8014665,-73.4199602","40.8014601,-75.4189010",12:30 PM,12:50 PM,Rob Gullery,
West Hills Park,Interior,Jun/12/2025,25-0110,1,Unmaintained herbaceous and leaf litter,84.5,47.9,"40.8021065, -73.41190858","40.8025349,-73.4183177",12:00 PM,12:30 PM,Rob Gullery,
West Hills Park,Interior,Jun/12/2025,25-0110,2,Unmaintained herbaceous and leaf litter,84.5,47.9,"40.8021065, -73.41190858","40.8025349,-73.4183177",12:00 PM,12:30 PM,Rob Gullery,
West Hills Park,Interior,Jun/12/2025,25-0110,3,Unmaintained herbaceous and leaf litter,84.5,47.9,"40.8021065, -73.41190858","40.8025349,-73.4183177",12:00 PM,12:30 PM,Rob Gullery,
West Hills Park,Interior,Jun/12/2025,25-0110,4,Unmaintained herbaceous and leaf litter,84.5,47.9,"40.8021065, -73.41190858","40.8025349,-73.4183177",12:00 PM,12:30 PM,Rob Gullery,
West Hills Park,Interior,Jun/12/2025,25-0110,5,Unmaintained herbaceous and leaf litter,84.5,47.9,"40.8021065, -73.41190858","40.8025349,-73.4183177",12:00 PM,12:30 PM,Rob Gullery,
West Hills Park,Interior,Jun/12/2025,25-0110,6,Unmaintained herbaceous and leaf litter,84.5,47.9,"40.8021065, -73.41190858","40.8025349,-73.4183177",12:00 PM,12:30 PM,Rob Gullery,
West Hills Park,Interior,Jun/12/2025,25-0110,7,Unmaintained herbaceous and leaf litter,84.5,47.9,"40.8021065, -73.41190858","40.8025349,-73.4183177",12:00 PM,12:30 PM,Rob Gullery,
West Hills Park,Interior,Jun/12/2025,25-0110,8,Unmaintained herbaceous and leaf litter,84.5,47.9,"40.8021065, -73.41190858","40.8025349,-73.4183177",12:00 PM,12:30 PM,Rob Gullery,
West Hills Park,Interior,Jun/12/2025,25-0110,9,Unmaintained herbaceous and leaf litter,84.5,47.9,"40.8021065, -73.41190858","40.8025349,-73.4183177",12:00 PM,12:30 PM,Rob Gullery,
West Hills Park,Interior,Jun/12/2025,25-0110,10,Unmaintained herbaceous and leaf litter,84.5,47.9,"40.8021065, -73.41190858","40.8025349,-73.4183177",12:00 PM,12:30 PM,Rob Gullery,
West Hills Park,Edge,Jun/12/2025,25-0111,1,Maintained grass and unmaintained herbaceous,85.5,46,"4-.8023588,-73.4179817","40.8028694,-73.4173501",N/A,N/A,Rob Gullery,
West Hills Park,Edge,Jun/12/2025,25-0111,2,Unmaintained herbaceous,85.5,46,"4-.8023588,-73.4179817","40.8028694,-73.4173501",N/A,N/A,Rob Gullery,
West Hills Park,Edge,Jun/12/2025,25-0111,3,Unmaintained herbaceous and leaf litter,85.5,46,"4-.8023588,-73.4179817","40.8028694,-73.4173501",N/A,N/A,Rob Gullery,
West Hills Park,Edge,Jun/12/2025,25-0111,4,Unmaintained herbaceous and leaf litter,85.5,46,"4-.8023588,-73.4179817","40.8028694,-73.4173501",N/A,N/A,Rob Gullery,
West Hills Park,Edge,Jun/12/2025,25-0111,5,Unmaintained herbaceous and leaf litter,85.5,46,"4-.8023588,-73.4179817","40.8028694,-73.4173501",N/A,N/A,Rob Gullery,
West Hills Park,Edge,Jun/12/2025,25-0111,6,Unmaintained herbaceous and leaf litter,85.5,46,"4-.8023588,-73.4179817","40.8028694,-73.4173501",N/A,N/A,Rob Gullery,
West Hills Park,Edge,Jun/12/2025,25-0111,7,Unmaintained herbaceous and leaf litter,85.5,46,"4-.8023588,-73.4179817","40.8028694,-73.4173501",N/A,N/A,Rob Gullery,
West Hills Park,Edge,Jun/12/2025,25-0111,8,Unmaintained herbaceous,85.5,46,"4-.8023588,-73.4179817","40.8028694,-73.4173501",N/A,N/A,Rob Gullery,
West Hills Park,Edge,Jun/12/2025,25-0111,9,Unmaintained herbaceous,85.5,46,"4-.8023588,-73.4179817","40.8028694,-73.4173501",N/A,N/A,Rob Gullery,
West Hills Park,Edge,Jun/12/2025,25-0111,10,Unmaintained herbaceous,85.5,46,"4-.8023588,-73.4179817","40.8028694,-73.4173501",N/A,N/A,Rob Gullery,
Willowbrook,Interior,Jun/04/2025,25-0030,1,Leaf Litter,65.3,62,"40.6013656, -74.1547433","40.6007404, -74.1546521",7:30 AM,8:00 AM,Rob Gullery,Near Fence (college of SI)
Willowbrook,Interior,Jun/04/2025,25-0030,2,Leaf Litter,65.3,62,"40.6013656, -74.1547433","40.6007404, -74.1546521",7:30 AM,8:00 AM,Rob Gullery,Near Fence (college of SI)
Willowbrook,Interior,Jun/04/2025,25-0030,3,Leaf Litter,65.3,62,"40.6013656, -74.1547433","40.6007404, -74.1546521",7:30 AM,8:00 AM,Rob Gullery,Near Fence (college of SI)
Willowbrook,Interior,Jun/04/2025,25-0030,4,Leaf Litter,65.3,62,"40.6013656, -74.1547433","40.6007404, -74.1546521",7:30 AM,8:00 AM,Rob Gullery,Near Fence (college of SI)
Willowbrook,Interior,Jun/04/2025,25-0030,5,Unmaintained herbaceous and leaf litter,65.3,62,"40.6013656, -74.1547433","40.6007404, -74.1546521",7:30 AM,8:00 AM,Rob Gullery,Near Fence (college of SI)
Willowbrook,Interior,Jun/04/2025,25-0030,6,Unmaintained herbaceous and leaf litter,65.3,62,"40.6013656, -74.1547433","40.6007404, -74.1546521",7:30 AM,8:00 AM,Rob Gullery,Near Fence (college of SI)
Willowbrook,Interior,Jun/04/2025,25-0030,7,Unmaintained herbaceous and leaf litter,65.3,62,"40.6013656, -74.1547433","40.6007404, -74.1546521",7:30 AM,8:00 AM,Rob Gullery,Near Fence (college of SI)
Willowbrook,Interior,Jun/04/2025,25-0030,8,Unmaintained herbaceous and leaf litter,65.3,62,"40.6013656, -74.1547433","40.6007404, -74.1546521",7:30 AM,8:00 AM,Rob Gullery,Near Fence (college of SI)
Willowbrook,Interior,Jun/04/2025,25-0030,9,Unmaintained herbaceous and leaf litter,65.3,62,"40.6013656, -74.1547433","40.6007404, -74.1546521",7:30 AM,8:00 AM,Rob Gullery,Near Fence (college of SI)
Willowbrook,Interior,Jun/04/2025,25-0030,10,Unmaintained herbaceous and leaf litter,65.3,62,"40.6013656, -74.1547433","40.6007404, -74.1546521",7:30 AM,8:00 AM,Rob Gullery,Near Fence (college of SI)
Willowbrook,Trail,Jun/04/2025,25-0031,1,Unmaintained herbaceous and leaf litter,65.5,67.4,"40.6002155, -74.1546994","40.5994055, -74.1549062",8:10 AM,N/A,Rob Gullery,N/A
Willowbrook,Trail,Jun/04/2025,25-0031,2,Unmaintained herbaceous and leaf litter,65.5,67.4,"40.6002155, -74.1546994","40.5994055, -74.1549062",8:10 AM,N/A,Rob Gullery,N/A
Willowbrook,Trail,Jun/04/2025,25-0031,3,Unmaintained herbaceous and leaf litter,65.5,67.4,"40.6002155, -74.1546994","40.5994055, -74.1549062",8:10 AM,N/A,Rob Gullery,N/A
Willowbrook,Trail,Jun/04/2025,25-0031,4,Unmaintained herbaceous and leaf litter,65.5,67.4,"40.6002155, -74.1546994","40.5994055, -74.1549062",8:10 AM,N/A,Rob Gullery,N/A
Willowbrook,Trail,Jun/04/2025,25-0031,5,Unmaintained herbaceous and leaf litter,65.5,67.4,"40.6002155, -74.1546994","40.5994055, -74.1549062",8:10 AM,N/A,Rob Gullery,N/A
Willowbrook,Trail,Jun/04/2025,25-0031,6,Unmaintained herbaceous and leaf litter,65.5,67.4,"40.6002155, -74.1546994","40.5994055, -74.1549062",8:10 AM,N/A,Rob Gullery,N/A
Willowbrook,Trail,Jun/04/2025,25-0031,7,Unmaintained herbaceous and leaf litter,65.5,67.4,"40.6002155, -74.1546994","40.5994055, -74.1549062",8:10 AM,N/A,Rob Gullery,N/A
Willowbrook,Trail,Jun/04/2025,25-0031,8,Unmaintained herbaceous and leaf litter,65.5,67.4,"40.6002155, -74.1546994","40.5994055, -74.1549062",8:10 AM,N/A,Rob Gullery,N/A
Willowbrook,Trail,Jun/04/2025,25-0031,9,Unmaintained herbaceous and leaf litter,65.5,67.4,"40.6002155, -74.1546994","40.5994055, -74.1549062",8:10 AM,N/A,Rob Gullery,N/A
Willowbrook,Trail,Jun/04/2025,25-0031,10,Unmaintained herbaceous and leaf litter,65.5,67.4,"40.6002155, -74.1546994","40.5994055, -74.1549062",8:10 AM,N/A,Rob Gullery,N/A
Willowbrook,Edge,Jun/04/2025,25-1033,1,Maintained grass and leaf litter,67.5,70.5,"40.6023118, -74.1574460","40.6026830, -74.1583274",7:31 AM,7:50 AM,Noah Edelman ,Edge between maintained grass and start of leaf litter; thin three cover also present in maintained grass
Willowbrook,Edge,Jun/04/2025,25-1033,2,Maintained grass and leaf litter,67.5,70.5,"40.6023118, -74.1574460","40.6026830, -74.1583274",7:31 AM,7:50 AM,Noah Edelman ,Edge between maintained grass and start of leaf litter; thin three cover also present in maintained grass
Willowbrook,Edge,Jun/04/2025,25-1033,3,Maintained grass and leaf litter,67.5,70.5,"40.6023118, -74.1574460","40.6026830, -74.1583274",7:31 AM,7:50 AM,Noah Edelman ,Edge between maintained grass and start of leaf litter; thin three cover also present in maintained grass
Willowbrook,Edge,Jun/04/2025,25-1033,4,Maintained grass and leaf litter,67.5,70.5,"40.6023118, -74.1574460","40.6026830, -74.1583274",7:31 AM,7:50 AM,Noah Edelman ,Edge between maintained grass and start of leaf litter; thin three cover also present in maintained grass
Willowbrook,Edge,Jun/04/2025,25-1033,5,Maintained grass and leaf litter,67.5,70.5,"40.6023118, -74.1574460","40.6026830, -74.1583274",7:31 AM,7:50 AM,Noah Edelman ,Edge between maintained grass and start of leaf litter; thin three cover also present in maintained grass
Willowbrook,Edge,Jun/04/2025,25-1033,6,Maintained grass and leaf litter,67.5,70.5,"40.6023118, -74.1574460","40.6026830, -74.1583274",7:31 AM,7:50 AM,Noah Edelman ,Edge between maintained grass and start of leaf litter; thin three cover also present in maintained grass
Willowbrook,Edge,Jun/04/2025,25-1033,7,Maintained grass and leaf litter,67.5,70.5,"40.6023118, -74.1574460","40.6026830, -74.1583274",7:31 AM,7:50 AM,Noah Edelman ,Edge between maintained grass and start of leaf litter; thin three cover also present in maintained grass
Willowbrook,Edge,Jun/04/2025,25-1033,8,Maintained grass and leaf litter,67.5,70.5,"40.6023118, -74.1574460","40.6026830, -74.1583274",7:31 AM,7:50 AM,Noah Edelman ,Edge between maintained grass and start of leaf litter; thin three cover also present in maintained grass
Willowbrook,Edge,Jun/04/2025,25-1033,9,Maintained grass and leaf litter,67.5,70.5,"40.6023118, -74.1574460","40.6026830, -74.1583274",7:31 AM,7:50 AM,Noah Edelman ,Edge between maintained grass and start of leaf litter; thin three cover also present in maintained grass
Willowbrook,Edge,Jun/04/2025,25-1033,10,Maintained grass and leaf litter,67.5,70.5,"40.6023118, -74.1574460","40.6026830, -74.1583274",7:31 AM,7:50 AM,Noah Edelman ,Edge between maintained grass and start of leaf litter; thin three cover also present in maintained grass
Willowbrook,Edge,Jun/04/2025,25-1034,1,Maintained grass and leaf litter,63.7,61.7,"40.6029543, -74.1584582","40.6035948, -74.1588072",7:54 AM,8:14 AM,Noah Edelman,N/A
Willowbrook,Edge,Jun/04/2025,25-1034,2,Maintained grass and unmaintained herb and leaf litter,63.7,61.7,"40.6029543, -74.1584582","40.6035948, -74.1588072",7:54 AM,8:14 AM,Noah Edelman,
Willowbrook,Edge,Jun/04/2025,25-1034,3,Maintained grass and leaf litter,63.7,61.7,"40.6029543, -74.1584582","40.6035948, -74.1588072",7:54 AM,8:14 AM,Noah Edelman,
Willowbrook,Edge,Jun/04/2025,25-1034,4,Maintained grass and leaf litter,63.7,61.7,"40.6029543, -74.1584582","40.6035948, -74.1588072",7:54 AM,8:14 AM,Noah Edelman,
Willowbrook,Edge,Jun/04/2025,25-1034,5,Maintained grass and leaf litter,63.7,61.7,"40.6029543, -74.1584582","40.6035948, -74.1588072",7:54 AM,8:14 AM,Noah Edelman,
Willowbrook,Edge,Jun/04/2025,25-1034,6,Maintained grass and leaf litter,63.7,61.7,"40.6029543, -74.1584582","40.6035948, -74.1588072",7:54 AM,8:14 AM,Noah Edelman,
Willowbrook,Edge,Jun/04/2025,25-1034,7,Maintained grass and leaf litter,63.7,61.7,"40.6029543, -74.1584582","40.6035948, -74.1588072",7:54 AM,8:14 AM,Noah Edelman,
Willowbrook,Edge,Jun/04/2025,25-1034,8,Maintained grass and leaf litter,63.7,61.7,"40.6029543, -74.1584582","40.6035948, -74.1588072",7:54 AM,8:14 AM,Noah Edelman,
Willowbrook,Edge,Jun/04/2025,25-1034,9,Maintained grass and unmaintained herb and leaf litter,63.7,61.7,"40.6029543, -74.1584582","40.6035948, -74.1588072",7:54 AM,8:14 AM,Noah Edelman,
Willowbrook,Edge,Jun/04/2025,25-1034,10,Maintained grass and leaf litter,63.7,61.7,"40.6029543, -74.1584582","40.6035948, -74.1588072",7:54 AM,8:14 AM,Noah Edelman,
Willowbrook,Trail,Jun/04/2025,25-2019,1,Unmaintained herbaceous and leaf litter,63.2,73.9,"40.6018885, -74.1572592","40.6014898, -74.1581668",7:31 AM,7:55 AM,Stephen Lewis,Total: 1
Willowbrook,Trail,Jun/04/2025,25-2019,2,Unmaintained herbaceous and leaf litter,63.2,73.9,"40.6018885, -74.1572592","40.6014898, -74.1581668",7:31 AM,7:55 AM,Stephen Lewis,Total: 1
Willowbrook,Trail,Jun/04/2025,25-2019,3,Unmaintained herbaceous and leaf litter,63.2,73.9,"40.6018885, -74.1572592","40.6014898, -74.1581668",7:31 AM,7:55 AM,Stephen Lewis,Total: 1
Willowbrook,Trail,Jun/04/2025,25-2019,4,Unmaintained herbaceous and leaf litter,63.2,73.9,"40.6018885, -74.1572592","40.6014898, -74.1581668",7:31 AM,7:55 AM,Stephen Lewis,Total: 1
Willowbrook,Trail,Jun/04/2025,25-2019,5,Unmaintained herbaceous and leaf litter,63.2,73.9,"40.6018885, -74.1572592","40.6014898, -74.1581668",7:31 AM,7:55 AM,Stephen Lewis,Total: 1
Willowbrook,Trail,Jun/04/2025,25-2019,6,Unmaintained herbaceous and leaf litter,63.2,73.9,"40.6018885, -74.1572592","40.6014898, -74.1581668",7:31 AM,7:55 AM,Stephen Lewis,Total: 1
Willowbrook,Trail,Jun/04/2025,25-2019,7,Unmaintained herbaceous and leaf litter,63.2,73.9,"40.6018885, -74.1572592","40.6014898, -74.1581668",7:31 AM,7:55 AM,Stephen Lewis,Total: 1
Willowbrook,Trail,Jun/04/2025,25-2019,8,Unmaintained herbaceous and leaf litter,63.2,73.9,"40.6018885, -74.1572592","40.6014898, -74.1581668",7:31 AM,7:55 AM,Stephen Lewis,Total: 1
Willowbrook,Trail,Jun/04/2025,25-2019,9,Unmaintained herbaceous and leaf litter,63.2,73.9,"40.6018885, -74.1572592","40.6014898, -74.1581668",7:31 AM,7:55 AM,Stephen Lewis,Total: 1
Willowbrook,Trail,Jun/04/2025,25-2019,10,Unmaintained herbaceous and leaf litter,63.2,73.9,"40.6018885, -74.1572592","40.6014898, -74.1581668",7:31 AM,7:55 AM,Stephen Lewis,Total: 1
Willowbrook,Interior,Jun/04/2025,25-2020,1,Leaf Litter,63.9,73.3,"40.0014486, -74.1582845","40.6016932, -74.1574312",8:00 AM,8:27 AM,Stephen Lewis,Total: 10
Willowbrook,Interior,Jun/04/2025,25-2020,2,Leaf Litter,63.9,73.3,"40.0014486, -74.1582845","40.6016932, -74.1574312",8:00 AM,8:27 AM,Stephen Lewis,Total: 10
Willowbrook,Interior,Jun/04/2025,25-2020,3,Leaf Litter,63.9,73.3,"40.0014486, -74.1582845","40.6016932, -74.1574312",8:00 AM,8:27 AM,Stephen Lewis,Total: 10
Willowbrook,Interior,Jun/04/2025,25-2020,4,Leaf Litter,63.9,73.3,"40.0014486, -74.1582845","40.6016932, -74.1574312",8:00 AM,8:27 AM,Stephen Lewis,Total: 10
Willowbrook,Interior,Jun/04/2025,25-2020,5,Leaf Litter,63.9,73.3,"40.0014486, -74.1582845","40.6016932, -74.1574312",8:00 AM,8:27 AM,Stephen Lewis,Total: 10
Willowbrook,Interior,Jun/04/2025,25-2020,6,Leaf Litter,63.9,73.3,"40.0014486, -74.1582845","40.6016932, -74.1574312",8:00 AM,8:27 AM,Stephen Lewis,Total: 10
Willowbrook,Interior,Jun/04/2025,25-2020,7,Leaf Litter,63.9,73.3,"40.0014486, -74.1582845","40.6016932, -74.1574312",8:00 AM,8:27 AM,Stephen Lewis,Total: 10
Willowbrook,Interior,Jun/04/2025,25-2020,8,Leaf Litter,63.9,73.3,"40.0014486, -74.1582845","40.6016932, -74.1574312",8:00 AM,8:27 AM,Stephen Lewis,Total: 10
Willowbrook,Interior,Jun/04/2025,25-2020,9,Leaf Litter,63.9,73.3,"40.0014486, -74.1582845","40.6016932, -74.1574312",8:00 AM,8:27 AM,Stephen Lewis,Total: 10
Willowbrook,Interior,Jun/04/2025,25-2020,10,Leaf Litter,63.9,73.3,"40.0014486, -74.1582845","40.6016932, -74.1574312",8:00 AM,8:27 AM,Stephen Lewis,Total: 10
Willowbrook,Trail,Jun/04/2025,SL-0005,1,Unmaintained herbaceous and leaf litter,70.3,56.5,"40.60160, -74.1550745","40.6006618, -74.1546370",7:34 AM,8:00 AM,Sharon Lin,N/A
Willowbrook,Trail,Jun/04/2025,SL-0005,2,Unmaintained herbaceous and leaf litter,70.3,56.5,"40.60160, -74.1550745","40.6006618, -74.1546370",7:34 AM,8:00 AM,Sharon Lin,
Willowbrook,Trail,Jun/04/2025,SL-0005,3,Unmaintained herbaceous and leaf litter,70.3,56.5,"40.60160, -74.1550745","40.6006618, -74.1546370",7:34 AM,8:00 AM,Sharon Lin,
Willowbrook,Trail,Jun/04/2025,SL-0005,4,Unmaintained herbaceous and leaf litter,70.3,56.5,"40.60160, -74.1550745","40.6006618, -74.1546370",7:34 AM,8:00 AM,Sharon Lin,
Willowbrook,Trail,Jun/04/2025,SL-0005,5,Unmaintained herbaceous and leaf litter,70.3,56.5,"40.60160, -74.1550745","40.6006618, -74.1546370",7:34 AM,8:00 AM,Sharon Lin,
Willowbrook,Trail,Jun/04/2025,SL-0005,6,Unmaintained herbaceous and leaf litter,70.3,56.5,"40.60160, -74.1550745","40.6006618, -74.1546370",7:34 AM,8:00 AM,Sharon Lin,
Willowbrook,Trail,Jun/04/2025,SL-0005,7,Unmaintained herbaceous and leaf litter,70.3,56.5,"40.60160, -74.1550745","40.6006618, -74.1546370",7:34 AM,8:00 AM,Sharon Lin,
Willowbrook,Trail,Jun/04/2025,SL-0005,8,Unmaintained herbaceous and leaf litter,70.3,56.5,"40.60160, -74.1550745","40.6006618, -74.1546370",7:34 AM,8:00 AM,Sharon Lin,
Willowbrook,Trail,Jun/04/2025,SL-0005,9,Unmaintained herbaceous and leaf litter,70.3,56.5,"40.60160, -74.1550745","40.6006618, -74.1546370",7:34 AM,8:00 AM,Sharon Lin,
Willowbrook,Trail,Jun/04/2025,SL-0005,10,Unmaintained herbaceous and leaf litter,70.3,56.5,"40.60160, -74.1550745","40.6006618, -74.1546370",7:34 AM,8:00 AM,Sharon Lin,
Willowbrook,Interior,Jun/04/2025,SL-0006,1,Unmaintained herbaceous and leaf litter,61.3,62.6,"40.60035, -74.15472","40.5996310, -74.1551560",8:06 AM,8:33 AM,Sharon Lin,N/A
Willowbrook,Interior,Jun/04/2025,SL-0006,2,Unmaintained herbaceous and leaf litter,61.3,62.6,"40.60035, -74.15472","40.5996310, -74.1551560",8:06 AM,8:33 AM,Sharon Lin,
Willowbrook,Interior,Jun/04/2025,SL-0006,3,Unmaintained herbaceous and leaf litter,61.3,62.6,"40.60035, -74.15472","40.5996310, -74.1551560",8:06 AM,8:33 AM,Sharon Lin,
Willowbrook,Interior,Jun/04/2025,SL-0006,4,Unmaintained herbaceous and leaf litter,61.3,62.6,"40.60035, -74.15472","40.5996310, -74.1551560",8:06 AM,8:33 AM,Sharon Lin,
Willowbrook,Interior,Jun/04/2025,SL-0006,5,Unmaintained herbaceous and leaf litter,61.3,62.6,"40.60035, -74.15472","40.5996310, -74.1551560",8:06 AM,8:33 AM,Sharon Lin,
Willowbrook,Interior,Jun/04/2025,SL-0006,6,Unmaintained herbaceous and leaf litter,61.3,62.6,"40.60035, -74.15472","40.5996310, -74.1551560",8:06 AM,8:33 AM,Sharon Lin,
Willowbrook,Interior,Jun/04/2025,SL-0006,7,Unmaintained herbaceous and leaf litter,61.3,62.6,"40.60035, -74.15472","40.5996310, -74.1551560",8:06 AM,8:33 AM,Sharon Lin,
Willowbrook,Interior,Jun/04/2025,SL-0006,8,Unmaintained herbaceous and leaf litter,61.3,62.6,"40.60035, -74.15472","40.5996310, -74.1551560",8:06 AM,8:33 AM,Sharon Lin,
Willowbrook,Interior,Jun/04/2025,SL-0006,9,Unmaintained herbaceous and leaf litter,61.3,62.6,"40.60035, -74.15472","40.5996310, -74.1551560",8:06 AM,8:33 AM,Sharon Lin,
Willowbrook,Interior,Jun/04/2025,SL-0006,10,Unmaintained herbaceous and leaf litter,61.3,62.6,"40.60035, -74.15472","40.5996310, -74.1551560",8:06 AM,8:33 AM,Sharon Lin,
Tiffany Creek,Edge,Jun/02/2025,25-1018,1,Maintained grass and unmaintained herbaceous,60.4,37.8,"40.8600509, -73.5177016","40.8600844, -73.5181954",11:48 AM,12:02 PM,Noah Edelman,Horseshoe-shaped transect
Tiffany Creek,Edge,Jun/02/2025,25-1018,2,Unmaintained herbaceous,60.4,37.8,"40.8600509, -73.5177016","40.8600844, -73.5181954",11:48 AM,12:02 PM,Noah Edelman,Horseshoe-shaped transect
Tiffany Creek,Edge,Jun/02/2025,25-1018,3,Unmaintained herbaceous,60.4,37.8,"40.8600509, -73.5177016","40.8600844, -73.5181954",11:48 AM,12:02 PM,Noah Edelman,Horseshoe-shaped transect
Tiffany Creek,Edge,Jun/02/2025,25-1018,4,Unmaintained herbaceous,60.4,37.8,"40.8600509, -73.5177016","40.8600844, -73.5181954",11:48 AM,12:02 PM,Noah Edelman,Horseshoe-shaped transect
Tiffany Creek,Edge,Jun/02/2025,25-1018,5,Unmaintained herbaceous,60.4,37.8,"40.8600509, -73.5177016","40.8600844, -73.5181954",11:48 AM,12:02 PM,Noah Edelman,Horseshoe-shaped transect
